occ_code,occ_title,tot_emp,h_median,a_median
33-2022,Forest Fire Inspectors and Prevention Specialists,"2,130",19.04,"39,600"
33-3011,Bailiffs,"18,900",22.00,"45,760"
33-3012,Correctional Officers and Jailers,"415,000",21.31,"44,330"
33-3021,Detectives and Criminal Investigators,"103,450",39.38,"81,920"
33-3031,Fish and Game Wardens,"6,040",27.75,"57,710"
33-3041,Parking Enforcement Workers,"8,070",19.15,"39,840"
33-3051,Police and Sheriff's Patrol Officers,"661,330",29.51,"61,380"
33-3052,Transit and Railroad Police,"4,470",35.59,"74,030"
33-9011,Animal Control Workers,"12,080",17.47,"36,330"
33-9021,Private Detectives and Investigators,"30,990",24.08,"50,090"
33-9031,Gaming Surveillance Officers and Gaming Investigators,"10,230",15.71,"32,680"
33-9032,Security Guards,"1,114,380",13.70,"28,490"
33-9091,Crossing Guards,"79,880",13.92,"28,960"
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","144,370",10.77,"22,410"
35-1011,Chefs and Head Cooks,"128,600",23.30,"48,460"
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,"964,400",15.60,"32,450"
35-2011,"Cooks, Fast Food","487,510",10.74,"22,330"
35-2012,"Cooks, Institution and Cafeteria","400,320",12.91,"26,860"
35-2013,"Cooks, Private Household",460,18.07,"37,590"
35-2014,"Cooks, Restaurant","1,340,810",12.76,"26,530"
35-2015,"Cooks, Short Order","155,840",11.44,"23,800"
35-2021,Food Preparation Workers,"814,600",11.41,"23,730"
35-3011,Bartenders,"631,480",10.84,"22,550"
35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food","3,676,180",10.22,"21,250"
35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop","473,860",10.74,"22,330"
35-3031,Waiters and Waitresses,"2,582,410",10.47,"21,780"
35-3041,"Food Servers, Nonrestaurant","266,190",11.20,"23,290"
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,"455,700",10.71,"22,270"
35-9021,Dishwashers,"504,770",10.93,"22,730"
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","416,950",10.65,"22,160"
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,"154,180",19.20,"39,940"
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers","101,390",23.18,"48,220"
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","2,156,270",12.55,"26,110"
37-2012,Maids and Housekeeping Cleaners,"924,290",11.43,"23,770"
37-2021,Pest Control Workers,"77,300",17.12,"35,610"
37-3011,Landscaping and Groundskeeping Workers,"913,480",13.94,"29,000"
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","24,500",16.98,"35,320"
37-3013,Tree Trimmers and Pruners,"42,440",18.36,"38,190"
39-1021,First-Line Supervisors of Personal Service Workers,"228,620",18.46,"38,400"
39-2011,Animal Trainers,"14,830",14.08,"29,290"
39-2021,Nonfarm Animal Caretakers,"199,850",11.42,"23,760"
39-3011,Gaming Dealers,"92,530",9.68,"20,120"
39-3012,Gaming and Sports Book Writers and Runners,"11,150",11.74,"24,430"
39-3021,Motion Picture Projectionists,"4,840",10.94,"22,760"
39-3031,"Ushers, Lobby Attendants, and Ticket Takers","133,970",10.70,"22,260"
39-3091,Amusement and Recreation Attendants,"319,890",10.70,"22,260"
39-3092,Costume Attendants,"6,460",19.80,"41,190"
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants","17,610",11.55,"24,030"
39-4011,Embalmers,"4,070",21.27,"44,250"
39-4021,Funeral Attendants,"35,340",12.69,"26,400"
39-5011,Barbers,"20,130",13.44,"27,960"
39-5012,"Hairdressers, Hairstylists, and Cosmetologists","377,210",11.89,"24,730"
39-5091,"Makeup Artists, Theatrical and Performance","3,140",30.89,"64,250"
39-5092,Manicurists and Pedicurists,"110,170",11.70,"24,330"
39-5093,Shampooers,"13,720",10.40,"21,640"
39-5094,Skincare Specialists,"50,740",15.05,"31,290"
39-6011,Baggage Porters and Bellhops,"42,350",11.64,"24,210"
39-6012,Concierges,"37,490",14.61,"30,400"
39-9011,Childcare Workers,"564,630",11.17,"23,240"
39-9021,Personal Care Aides,"2,211,950",11.55,"24,020"
39-9031,Fitness Trainers and Aerobics Instructors,"308,470",19.15,"39,820"
39-9032,Recreation Workers,"353,570",12.05,"25,060"
39-9041,Residential Advisors,"108,380",13.39,"27,860"
41-1011,First-Line Supervisors of Retail Sales Workers,"1,181,530",19.05,"39,630"
41-1012,First-Line Supervisors of Non-Retail Sales Workers,"247,570",35.29,"73,390"
41-2011,Cashiers,"3,635,550",10.78,"22,430"
41-2012,Gaming Change Persons and Booth Cashiers,"22,020",11.96,"24,880"
41-2021,Counter and Rental Clerks,"426,700",13.12,"27,290"
41-2022,Parts Salespersons,"254,870",14.63,"30,430"
41-2031,Retail Salespersons,"4,448,120",11.63,"24,200"
41-3011,Advertising Sales Agents,"133,110",24.87,"51,740"
41-3021,Insurance Sales Agents,"393,830",24.33,"50,600"
41-3031,"Securities, Commodities, and Financial Services Sales Agents","415,890",30.83,"64,120"
41-3041,Travel Agents,"69,480",18.61,"38,700"
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","312,980",38.31,"79,680"
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","1,350,180",28.13,"58,510"
41-9011,Demonstrators and Product Promoters,"81,250",13.92,"28,960"
41-9012,Models,"3,310",11.43,"23,770"
41-9021,Real Estate Brokers,"40,320",27.99,"58,210"
41-9022,Real Estate Sales Agents,"156,760",23.41,"48,690"
41-9031,Sales Engineers,"65,720",48.76,"101,420"
41-9041,Telemarketers,"164,160",12.14,"25,250"
41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers","9,430",12.71,"26,430"
43-1011,First-Line Supervisors of Office and Administrative Support Workers,"1,477,560",26.83,"55,810"
43-2011,"Switchboard Operators, Including Answering Service","71,600",14.14,"29,420"
43-2021,Telephone Operators,"5,160",17.91,"37,240"
43-3011,Bill and Account Collectors,"251,330",17.32,"36,020"
43-3021,Billing and Posting Clerks,"469,250",18.17,"37,800"
43-3031,"Bookkeeping, Accounting, and Auditing Clerks","1,530,430",19.35,"40,240"
43-3041,Gaming Cage Workers,"16,020",13.22,"27,490"
43-3051,Payroll and Timekeeping Clerks,"144,030",21.66,"45,050"
43-3061,Procurement Clerks,"68,100",20.51,"42,670"
43-3071,Tellers,"468,470",14.16,"29,450"
43-4011,Brokerage Clerks,"55,100",24.71,"51,400"
43-4021,Correspondence Clerks,"5,460",17.93,"37,290"
43-4031,"Court, Municipal, and License Clerks","142,350",18.48,"38,450"
43-4041,"Credit Authorizers, Checkers, and Clerks","29,980",18.63,"38,750"
43-4051,Customer Service Representatives,"2,871,400",16.23,"33,750"
43-4061,"Eligibility Interviewers, Government Programs","137,830",22.12,"46,020"
43-4071,File Clerks,"110,020",15.24,"31,700"
43-4081,"Hotel, Motel, and Resort Desk Clerks","260,780",11.39,"23,700"
43-4111,"Interviewers, Except Eligibility and Loan","192,820",16.38,"34,060"
43-4121,"Library Assistants, Clerical","88,970",12.74,"26,500"
43-4131,Loan Interviewers and Clerks,"222,620",19.18,"39,890"
43-4141,New Accounts Clerks,"41,500",17.21,"35,800"
43-4151,Order Clerks,"159,210",16.09,"33,460"
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping","124,600",19.42,"40,390"
43-4171,Receptionists and Information Clerks,"1,043,630",14.01,"29,140"
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,"132,050",17.90,"37,220"
43-5011,Cargo and Freight Agents,"92,280",20.77,"43,210"
43-5021,Couriers and Messengers,"75,720",13.81,"28,720"
43-5031,"Police, Fire, and Ambulance Dispatchers","95,020",19.55,"40,660"
43-5032,"Dispatchers, Except Police, Fire, and Ambulance","199,880",18.98,"39,470"
43-5041,"Meter Readers, Utilities","33,570",19.40,"40,360"
43-5051,Postal Service Clerks,"78,830",26.58,"55,280"
43-5052,Postal Service Mail Carriers,"342,410",26.54,"55,210"
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators","103,830",28.26,"58,770"
43-5061,"Production, Planning, and Expediting Clerks","350,150",22.88,"47,580"
43-5071,"Shipping, Receiving, and Traffic Clerks","655,590",15.88,"33,030"
43-5081,Stock Clerks and Order Fillers,"2,056,030",12.36,"25,700"
43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping","65,830",15.53,"32,310"
43-6011,Executive Secretaries and Executive Administrative Assistants,"570,530",28.53,"59,340"
43-6012,Legal Secretaries,"176,880",22.29,"46,360"
43-6013,Medical Secretaries,"585,410",17.19,"35,760"
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","2,165,310",17.61,"36,630"
43-9011,Computer Operators,"34,700",22.04,"45,840"
43-9021,Data Entry Keyers,"174,930",15.47,"32,170"
43-9022,Word Processors and Typists,"53,130",19.11,"39,750"
43-9031,Desktop Publishers,"10,740",20.63,"42,910"
43-9041,Insurance Claims and Policy Processing Clerks,"274,560",19.07,"39,660"
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service","86,150",14.63,"30,430"
43-9061,"Office Clerks, General","2,972,930",15.74,"32,730"
43-9071,"Office Machine Operators, Except Computer","48,580",15.76,"32,790"
43-9081,Proofreaders and Copy Markers,"9,820",18.82,"39,140"
43-9111,Statistical Assistants,"11,010",23.24,"48,330"
45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers","21,800",22.57,"46,960"
45-2011,Agricultural Inspectors,"13,240",21.22,"44,140"
45-2021,Animal Breeders,"2,160",17.82,"37,060"
45-2041,"Graders and Sorters, Agricultural Products","38,210",11.75,"24,430"
45-2090,Miscellaneous Agricultural Workers,"357,850",11.83,"24,600"
45-4011,Forest and Conservation Workers,"7,510",13.20,"27,460"
